dataset,feature_set,model,target,r2,mae,rmse,nmae,nrmse
rea,selected,RandomForest,max_power,0.9933801588738959,9.10543841814365,16.447934153312925,0.006605074323016942,0.011931312096542551
rea,selected,RandomForest,burst_width,0.9109197366055803,0.009488606558140926,0.046121823964349724,0.005047131147947301,0.02453288508742007
rea,selected,RandomForest,max_Tf,0.9762930431346624,4.119334075306677,5.706461810276619,0.013568294055687345,0.018795987517380174
rea,selected,RandomForest,avg_Tcool,0.9787796399451899,0.07703115510397737,0.10916135761088494,0.016958239513361128,0.02403163298629376
rea,selected,GradientBoosting,max_power,0.9951704501931031,10.10641948111063,14.048854026002898,0.007331184809213312,0.010191022192853732
rea,selected,GradientBoosting,burst_width,0.9853598762915067,0.007782957256319003,0.018697696276595614,0.004139870881020747,0.009945583125848732
rea,selected,GradientBoosting,max_Tf,0.9819147885108073,3.8200176419383136,4.98414658207414,0.012582403300192077,0.016416820099058437
rea,selected,GradientBoosting,avg_Tcool,0.9807648974247412,0.07299123709669346,0.10392973197956423,0.01606886044213487,0.022879902100518754
powery,full,Ridge,A-2,0.9887920126384923,7.885330599822027,11.035036922942428,0.01338062261955766,0.018725361326272106
powery,full,Ridge,B-1,0.9952273314415147,6.789482434566725,9.308408759825545,0.00940117529463403,0.012889050573235838
powery,full,Ridge,B-2,0.9947507755100451,7.427284438947136,10.145032923330962,0.009023750866602771,0.01232566900946622
powery,full,Ridge,B-4,0.9919184676761228,7.624525423866744,10.956599181611052,0.010997095928945558,0.0158030520664297
powery,full,Ridge,B-5,0.9933481225052007,7.8412670121771955,10.638885842254432,0.009936000095864067,0.01348098089050741
powery,full,Ridge,B-7,0.9955644387467164,6.292473050722419,8.18602488061115,0.00905044154603489,0.011773930389396382
powery,full,Ridge,B-8,0.9959409929921857,6.227671604256357,8.440275046725805,0.00850046679127089,0.011520562146348477
powery,full,Ridge,C-1,0.9972927880374608,10.887295495870148,15.059970122906584,0.007413392736260606,0.010254656278945274
powery,full,Ridge,C-2,0.9976763690459074,12.06297720474926,16.480311263245422,0.00748637434385688,0.010227805070489697
powery,full,Ridge,C-3,0.9971005912793116,14.698917169853885,18.651420579253337,0.008060702955933512,0.010228206558227787
powery,full,Ridge,C-4,0.996531972737035,14.963669149659871,19.36484638700175,0.009381130432148388,0.012140347927908456
powery,full,Ridge,C-5,0.9965391965715041,13.084590882001285,17.55853885460649,0.00819186688629711,0.010992870492624238
powery,full,Ridge,C-6,0.9942649705326888,15.928294084753306,22.683345680112172,0.009782054821460254,0.013930539566656143
powery,full,Ridge,C-7,0.9946470241423954,17.14611805628294,24.34035698969446,0.010808988812827703,0.015344268920709598
powery,full,Ridge,C-8,0.9967519876846767,15.26457722209414,20.625827717726455,0.008874343240032183,0.011991205004481803
powery,full,Ridge,C-9,0.9969156289240643,14.16291654646544,19.041534058701934,0.009687785723950905,0.01302488094248178
powery,full,Ridge,C-10,0.9971039761212518,12.52305120215551,16.414087806913372,0.009107298038717923,0.011937026151064171
powery,full,Ridge,C-11,0.9955547070533504,13.883753795065203,18.7657021986361,0.009611267382981884,0.012990880141119321
powery,full,Ridge,C-12,0.9958860170211185,14.514947060434551,19.852573866684626,0.009609203317119175,0.013142825658186598
